100 100
0 0 2.000
0 1 0.000
0 2 1.000
0 3 -2.000
0 4 1.000
0 5 0.000
0 6 -3.000
0 7 1.000
0 8 2.000
0 9 0.000
0 10 1.000
0 11 2.000
0 12 1.000
0 13 1.000
0 14 3.000
0 15 2.000
0 16 -3.000
0 17 0.000
0 18 1.000
0 19 1.000
0 20 2.000
0 21 -2.000
0 22 3.000
0 23 2.000
0 24 0.000
0 25 3.000
0 26 -2.000
0 27 -2.000
0 28 -2.000
0 29 0.000
0 30 -1.000
0 31 -2.000
0 32 -1.000
0 33 0.000
0 34 3.000
0 35 -1.000
0 36 -1.000
0 37 1.000
0 38 0.000
0 39 1.000
0 40 2.000
0 41 0.000
0 42 -1.000
0 43 -2.000
0 44 2.000
0 45 -2.000
0 46 1.000
0 47 -2.000
0 48 -3.000
0 49 1.000
0 50 0.000
0 51 -2.000
0 52 1.000
0 53 0.000
0 54 1.000
0 55 -2.000
0 56 0.000
0 57 1.000
0 58 1.000
0 59 3.000
0 60 2.000
0 61 -1.000
0 62 3.000
0 63 2.000
0 64 -1.000
0 65 -2.000
0 66 -1.000
0 67 -1.000
0 68 -1.000
0 69 3.000
0 70 1.000
0 71 -1.000
0 72 3.000
0 73 2.000
0 74 3.000
0 75 0.000
0 76 -3.000
0 77 3.000
0 78 3.000
0 79 3.000
0 80 0.000
0 81 -2.000
0 82 -3.000
0 83 3.000
0 84 2.000
0 85 3.000
0 86 3.000
0 87 -1.000
0 88 -3.000
0 89 -3.000
0 90 1.000
0 91 -1.000
0 92 0.000
0 93 -3.000
0 94 2.000
0 95 -3.000
0 96 -3.000
0 97 -1.000
0 98 3.000
0 99 -3.000
1 0 1.000
1 1 0.000
1 2 0.000
1 3 3.000
1 4 -3.000
1 5 3.000
1 6 0.000
1 7 3.000
1 8 0.000
1 9 3.000
1 10 -2.000
1 11 -3.000
1 12 0.000
1 13 -3.000
1 14 1.000
1 15 -3.000
1 16 2.000
1 17 -2.000
1 18 3.000
1 19 -1.000
1 20 2.000
1 21 -1.000
1 22 -3.000
1 23 -1.000
1 24 -1.000
1 25 2.000
1 26 3.000
1 27 1.000
1 28 1.000
1 29 0.000
1 30 3.000
1 31 -1.000
1 32 -1.000
1 33 0.000
1 34 -2.000
1 35 2.000
1 36 1.000
1 37 0.000
1 38 0.000
1 39 0.000
1 40 0.000
1 41 3.000
1 42 1.000
1 43 -3.000
1 44 2.000
1 45 0.000
1 46 -2.000
1 47 -2.000
1 48 -2.000
1 49 0.000
1 50 2.000
1 51 2.000
1 52 2.000
1 53 2.000
1 54 3.000
1 55 1.000
1 56 0.000
1 57 2.000
1 58 2.000
1 59 1.000
1 60 -3.000
1 61 -1.000
1 62 0.000
1 63 -1.000
1 64 3.000
1 65 -2.000
1 66 2.000
1 67 -1.000
1 68 -2.000
1 69 1.000
1 70 2.000
1 71 1.000
1 72 -1.000
1 73 -3.000
1 74 -3.000
1 75 1.000
1 76 3.000
1 77 2.000
1 78 1.000
1 79 -2.000
1 80 0.000
1 81 -1.000
1 82 0.000
1 83 -3.000
1 84 -2.000
1 85 2.000
1 86 -1.000
1 87 -2.000
1 88 -1.000
1 89 0.000
1 90 -2.000
1 91 -1.000
1 92 3.000
1 93 1.000
1 94 2.000
1 95 3.000
1 96 -2.000
1 97 -3.000
1 98 -3.000
1 99 -2.000
2 0 1.000
2 1 0.000
2 2 -3.000
2 3 3.000
2 4 -1.000
2 5 2.000
2 6 -1.000
2 7 0.000
2 8 -1.000
2 9 0.000
2 10 -3.000
2 11 3.000
2 12 -2.000
2 13 3.000
2 14 -2.000
2 15 -1.000
2 16 0.000
2 17 -2.000
2 18 -3.000
2 19 0.000
2 20 1.000
2 21 0.000
2 22 2.000
2 23 -1.000
2 24 2.000
2 25 2.000
2 26 -1.000
2 27 -1.000
2 28 3.000
2 29 1.000
2 30 1.000
2 31 3.000
2 32 -2.000
2 33 -3.000
2 34 -3.000
2 35 1.000
2 36 3.000
2 37 -2.000
2 38 -2.000
2 39 -3.000
2 40 3.000
2 41 -1.000
2 42 -1.000
2 43 2.000
2 44 2.000
2 45 3.000
2 46 -2.000
2 47 0.000
2 48 0.000
2 49 1.000
2 50 -2.000
2 51 -1.000
2 52 -2.000
2 53 0.000
2 54 0.000
2 55 -2.000
2 56 2.000
2 57 3.000
2 58 -2.000
2 59 3.000
2 60 3.000
2 61 3.000
2 62 -1.000
2 63 0.000
2 64 -1.000
2 65 -3.000
2 66 0.000
2 67 -2.000
2 68 -3.000
2 69 -3.000
2 70 -3.000
2 71 1.000
2 72 2.000
2 73 3.000
2 74 1.000
2 75 0.000
2 76 2.000
2 77 1.000
2 78 0.000
2 79 -1.000
2 80 0.000
2 81 -1.000
2 82 -2.000
2 83 -3.000
2 84 1.000
2 85 0.000
2 86 3.000
2 87 -3.000
2 88 -2.000
2 89 -2.000
2 90 3.000
2 91 -3.000
2 92 -1.000
2 93 3.000
2 94 1.000
2 95 -3.000
2 96 1.000
2 97 0.000
2 98 2.000
2 99 0.000
3 0 -3.000
3 1 -2.000
3 2 0.000
3 3 -1.000
3 4 0.000
3 5 -1.000
3 6 -1.000
3 7 -2.000
3 8 -3.000
3 9 3.000
3 10 -2.000
3 11 -2.000
3 12 1.000
3 13 -2.000
3 14 0.000
3 15 -2.000
3 16 -1.000
3 17 1.000
3 18 -1.000
3 19 -3.000
3 20 1.000
3 21 0.000
3 22 2.000
3 23 1.000
3 24 -1.000
3 25 -2.000
3 26 0.000
3 27 3.000
3 28 -1.000
3 29 2.000
3 30 -2.000
3 31 -3.000
3 32 -2.000
3 33 -3.000
3 34 1.000
3 35 1.000
3 36 1.000
3 37 1.000
3 38 -3.000
3 39 0.000
3 40 -1.000
3 41 2.000
3 42 1.000
3 43 1.000
3 44 0.000
3 45 0.000
3 46 -3.000
3 47 2.000
3 48 -3.000
3 49 2.000
3 50 3.000
3 51 1.000
3 52 1.000
3 53 -2.000
3 54 -2.000
3 55 1.000
3 56 -3.000
3 57 0.000
3 58 -1.000
3 59 -3.000
3 60 -1.000
3 61 -3.000
3 62 2.000
3 63 1.000
3 64 -1.000
3 65 -1.000
3 66 2.000
3 67 1.000
3 68 -1.000
3 69 -2.000
3 70 -1.000
3 71 0.000
3 72 2.000
3 73 -1.000
3 74 -1.000
3 75 -1.000
3 76 -1.000
3 77 3.000
3 78 -1.000
3 79 -1.000
3 80 -3.000
3 81 1.000
3 82 -2.000
3 83 0.000
3 84 2.000
3 85 -1.000
3 86 2.000
3 87 -2.000
3 88 3.000
3 89 3.000
3 90 -2.000
3 91 -2.000
3 92 1.000
3 93 3.000
3 94 1.000
3 95 -3.000
3 96 -1.000
3 97 1.000
3 98 1.000
3 99 3.000
4 0 1.000
4 1 0.000
4 2 -2.000
4 3 -1.000
4 4 -1.000
4 5 1.000
4 6 -2.000
4 7 0.000
4 8 -1.000
4 9 1.000
4 10 -3.000
4 11 2.000
4 12 2.000
4 13 0.000
4 14 2.000
4 15 2.000
4 16 -2.000
4 17 3.000
4 18 1.000
4 19 3.000
4 20 1.000
4 21 0.000
4 22 2.000
4 23 -3.000
4 24 3.000
4 25 -3.000
4 26 2.000
4 27 -1.000
4 28 3.000
4 29 1.000
4 30 -1.000
4 31 1.000
4 32 -1.000
4 33 3.000
4 34 -3.000
4 35 3.000
4 36 -2.000
4 37 -1.000
4 38 3.000
4 39 -1.000
4 40 2.000
4 41 3.000
4 42 -2.000
4 43 -2.000
4 44 2.000
4 45 -2.000
4 46 2.000
4 47 -2.000
4 48 2.000
4 49 -3.000
4 50 0.000
4 51 3.000
4 52 -2.000
4 53 -1.000
4 54 3.000
4 55 0.000
4 56 -1.000
4 57 -1.000
4 58 2.000
4 59 -3.000
4 60 -3.000
4 61 1.000
4 62 1.000
4 63 3.000
4 64 -3.000
4 65 -2.000
4 66 -3.000
4 67 1.000
4 68 1.000
4 69 1.000
4 70 0.000
4 71 -3.000
4 72 -1.000
4 73 -2.000
4 74 -2.000
4 75 -1.000
4 76 -3.000
4 77 -1.000
4 78 -3.000
4 79 2.000
4 80 -2.000
4 81 -3.000
4 82 3.000
4 83 0.000
4 84 2.000
4 85 1.000
4 86 1.000
4 87 -2.000
4 88 -1.000
4 89 3.000
4 90 -2.000
4 91 3.000
4 92 -2.000
4 93 1.000
4 94 3.000
4 95 3.000
4 96 -3.000
4 97 0.000
4 98 2.000
4 99 2.000
5 0 0.000
5 1 0.000
5 2 1.000
5 3 2.000
5 4 1.000
5 5 3.000
5 6 -3.000
5 7 0.000
5 8 3.000
5 9 -1.000
5 10 3.000
5 11 3.000
5 12 -3.000
5 13 1.000
5 14 -1.000
5 15 0.000
5 16 -2.000
5 17 -1.000
5 18 1.000
5 19 1.000
5 20 0.000
5 21 0.000
5 22 3.000
5 23 1.000
5 24 3.000
5 25 3.000
5 26 2.000
5 27 0.000
5 28 2.000
5 29 1.000
5 30 -3.000
5 31 0.000
5 32 2.000
5 33 1.000
5 34 1.000
5 35 -1.000
5 36 -1.000
5 37 -3.000
5 38 0.000
5 39 3.000
5 40 -3.000
5 41 3.000
5 42 -3.000
5 43 0.000
5 44 1.000
5 45 -3.000
5 46 -1.000
5 47 -3.000
5 48 -2.000
5 49 2.000
5 50 -3.000
5 51 -3.000
5 52 -3.000
5 53 2.000
5 54 -2.000
5 55 -2.000
5 56 -2.000
5 57 3.000
5 58 1.000
5 59 -1.000
5 60 1.000
5 61 -3.000
5 62 0.000
5 63 -2.000
5 64 -1.000
5 65 -2.000
5 66 -3.000
5 67 1.000
5 68 1.000
5 69 -2.000
5 70 1.000
5 71 0.000
5 72 3.000
5 73 1.000
5 74 2.000
5 75 0.000
5 76 3.000
5 77 -1.000
5 78 2.000
5 79 3.000
5 80 3.000
5 81 -3.000
5 82 3.000
5 83 3.000
5 84 -3.000
5 85 3.000
5 86 2.000
5 87 -1.000
5 88 -2.000
5 89 1.000
5 90 -2.000
5 91 0.000
5 92 -3.000
5 93 3.000
5 94 0.000
5 95 2.000
5 96 -1.000
5 97 -3.000
5 98 -2.000
5 99 1.000
6 0 -3.000
6 1 1.000
6 2 3.000
6 3 2.000
6 4 3.000
6 5 2.000
6 6 -3.000
6 7 1.000
6 8 3.000
6 9 -2.000
6 10 -2.000
6 11 3.000
6 12 1.000
6 13 -3.000
6 14 3.000
6 15 1.000
6 16 -3.000
6 17 2.000
6 18 -3.000
6 19 -3.000
6 20 -1.000
6 21 -1.000
6 22 -1.000
6 23 2.000
6 24 2.000
6 25 2.000
6 26 1.000
6 27 -1.000
6 28 3.000
6 29 3.000
6 30 1.000
6 31 3.000
6 32 2.000
6 33 -2.000
6 34 2.000
6 35 -3.000
6 36 -1.000
6 37 -3.000
6 38 0.000
6 39 -1.000
6 40 -3.000
6 41 -2.000
6 42 -2.000
6 43 1.000
6 44 0.000
6 45 3.000
6 46 -1.000
6 47 -3.000
6 48 -3.000
6 49 3.000
6 50 -1.000
6 51 2.000
6 52 1.000
6 53 -1.000
6 54 -2.000
6 55 -3.000
6 56 1.000
6 57 0.000
6 58 3.000
6 59 1.000
6 60 1.000
6 61 -3.000
6 62 -3.000
6 63 3.000
6 64 0.000
6 65 1.000
6 66 3.000
6 67 3.000
6 68 1.000
6 69 -2.000
6 70 0.000
6 71 0.000
6 72 -3.000
6 73 -2.000
6 74 1.000
6 75 3.000
6 76 3.000
6 77 3.000
6 78 -2.000
6 79 -1.000
6 80 3.000
6 81 -1.000
6 82 2.000
6 83 0.000
6 84 3.000
6 85 1.000
6 86 -3.000
6 87 1.000
6 88 -1.000
6 89 0.000
6 90 0.000
6 91 2.000
6 92 1.000
6 93 -2.000
6 94 2.000
6 95 -1.000
6 96 -3.000
6 97 -3.000
6 98 -1.000
6 99 -1.000
7 0 -3.000
7 1 -2.000
7 2 -3.000
7 3 -1.000
7 4 0.000
7 5 1.000
7 6 -3.000
7 7 3.000
7 8 0.000
7 9 1.000
7 10 1.000
7 11 -2.000
7 12 -1.000
7 13 -2.000
7 14 0.000
7 15 -3.000
7 16 1.000
7 17 -1.000
7 18 -2.000
7 19 -1.000
7 20 2.000
7 21 -2.000
7 22 -3.000
7 23 3.000
7 24 1.000
7 25 -2.000
7 26 2.000
7 27 0.000
7 28 -3.000
7 29 1.000
7 30 -3.000
7 31 3.000
7 32 2.000
7 33 -3.000
7 34 3.000
7 35 3.000
7 36 -2.000
7 37 -1.000
7 38 0.000
7 39 0.000
7 40 1.000
7 41 1.000
7 42 1.000
7 43 -3.000
7 44 2.000
7 45 2.000
7 46 3.000
7 47 -2.000
7 48 -2.000
7 49 -3.000
7 50 2.000
7 51 0.000
7 52 1.000
7 53 2.000
7 54 3.000
7 55 -3.000
7 56 0.000
7 57 3.000
7 58 -1.000
7 59 1.000
7 60 -2.000
7 61 0.000
7 62 -1.000
7 63 -1.000
7 64 -3.000
7 65 -2.000
7 66 1.000
7 67 -3.000
7 68 -2.000
7 69 2.000
7 70 0.000
7 71 0.000
7 72 -1.000
7 73 2.000
7 74 0.000
7 75 -2.000
7 76 -3.000
7 77 -1.000
7 78 -1.000
7 79 -2.000
7 80 3.000
7 81 0.000
7 82 -2.000
7 83 2.000
7 84 1.000
7 85 -3.000
7 86 -2.000
7 87 2.000
7 88 1.000
7 89 -2.000
7 90 -1.000
7 91 -3.000
7 92 3.000
7 93 -1.000
7 94 2.000
7 95 2.000
7 96 3.000
7 97 2.000
7 98 -2.000
7 99 0.000
8 0 0.000
8 1 3.000
8 2 -2.000
8 3 0.000
8 4 0.000
8 5 1.000
8 6 -1.000
8 7 0.000
8 8 2.000
8 9 -1.000
8 10 -3.000
8 11 -2.000
8 12 0.000
8 13 2.000
8 14 1.000
8 15 3.000
8 16 -2.000
8 17 3.000
8 18 2.000
8 19 -2.000
8 20 -1.000
8 21 2.000
8 22 0.000
8 23 -3.000
8 24 -3.000
8 25 2.000
8 26 -2.000
8 27 -3.000
8 28 -1.000
8 29 0.000
8 30 -1.000
8 31 -2.000
8 32 -2.000
8 33 2.000
8 34 -1.000
8 35 -2.000
8 36 1.000
8 37 2.000
8 38 0.000
8 39 -1.000
8 40 -2.000
8 41 1.000
8 42 1.000
8 43 -1.000
8 44 2.000
8 45 0.000
8 46 0.000
8 47 2.000
8 48 -3.000
8 49 3.000
8 50 -3.000
8 51 2.000
8 52 0.000
8 53 2.000
8 54 1.000
8 55 -1.000
8 56 2.000
8 57 -1.000
8 58 3.000
8 59 -3.000
8 60 2.000
8 61 3.000
8 62 -2.000
8 63 1.000
8 64 -1.000
8 65 2.000
8 66 1.000
8 67 -3.000
8 68 -2.000
8 69 -2.000
8 70 -2.000
8 71 1.000
8 72 -3.000
8 73 -3.000
8 74 -2.000
8 75 1.000
8 76 -2.000
8 77 -3.000
8 78 -3.000
8 79 2.000
8 80 -1.000
8 81 2.000
8 82 3.000
8 83 3.000
8 84 -3.000
8 85 3.000
8 86 -2.000
8 87 -3.000
8 88 1.000
8 89 -1.000
8 90 -3.000
8 91 1.000
8 92 1.000
8 93 -2.000
8 94 -1.000
8 95 -1.000
8 96 3.000
8 97 -3.000
8 98 -1.000
8 99 2.000
9 0 0.000
9 1 1.000
9 2 0.000
9 3 -1.000
9 4 1.000
9 5 1.000
9 6 -1.000
9 7 3.000
9 8 3.000
9 9 -1.000
9 10 -2.000
9 11 -1.000
9 12 -2.000
9 13 0.000
9 14 3.000
9 15 -1.000
9 16 1.000
9 17 2.000
9 18 0.000
9 19 -3.000
9 20 -2.000
9 21 1.000
9 22 -3.000
9 23 3.000
9 24 -3.000
9 25 3.000
9 26 3.000
9 27 3.000
9 28 2.000
9 29 -3.000
9 30 -2.000
9 31 0.000
9 32 0.000
9 33 3.000
9 34 3.000
9 35 3.000
9 36 -2.000
9 37 0.000
9 38 2.000
9 39 -3.000
9 40 -2.000
9 41 -3.000
9 42 2.000
9 43 -2.000
9 44 -2.000
9 45 -3.000
9 46 3.000
9 47 0.000
9 48 -1.000
9 49 0.000
9 50 1.000
9 51 3.000
9 52 1.000
9 53 0.000
9 54 0.000
9 55 3.000
9 56 -3.000
9 57 1.000
9 58 1.000
9 59 1.000
9 60 3.000
9 61 0.000
9 62 0.000
9 63 -1.000
9 64 2.000
9 65 0.000
9 66 3.000
9 67 0.000
9 68 -1.000
9 69 -3.000
9 70 0.000
9 71 1.000
9 72 1.000
9 73 -3.000
9 74 2.000
9 75 -2.000
9 76 -3.000
